"Object","Close-Approach (CA) Date (TDB)YYYY-mmm-DD HH:MM ± D_HH:MM","CA DistanceNominal(LD/AU)","CA DistanceMinimum(LD/AU)","Vrelative(km/s)","Vinfinity(km/s)","Nsigma","H(mag)","ref","class"
"(2015 VR64)","2015-Nov-12 20:12 ±","3.04/0.00781","3.04/0.00781","7.45","7.41","3.34e+03","27.4","9","APO*"
"(2016 GK2)","2016-Mar-27 01:34 ±","3.07/0.00788","3.06/0.00786","9.38","9.35","727","27.8","7","APO*"
"(2016 ES85)","2016-Mar-16 08:16 ±","3.07/0.00789","3.07/0.00788","3.23","3.12","1.57e+03","29.7","6","ATE*"
"(2016 SC)","2016-Sep-25 10:57 ±","3.09/0.00793","3.08/0.00792","5.35","5.29","1.38e+03","27.8","2","APO*"
"(2016 ET1)","2016-Feb-29 00:51 ±","3.11/0.00799","3.10/0.00797","5.50","5.44","731","28.9","3","APO*"
"(2016 GX220)","2016-Apr-12 07:19 ±","3.15/0.00808","3.14/0.00808","4.42","4.34","2.88e+03","28.7","3","APO*"
"(2016 AB166)","2016-Jan-12 00:30 ±","3.21/0.00826","3.21/0.00826","21.73","21.72","8.77e+03","24.4","9","APO*"
"(2016 LK49)","2016-Jun-16 16:17 ±","3.22/0.00828","3.21/0.00826","19.98","19.97","1.19e+03","26.0","5","APO*"
"(2016 NC56)","2016-Jul-06 06:50 ±   00:01","3.29/0.00845","3.28/0.00842","14.64","14.62","660","27.1","1","APO*"
"(2016 BY)","2016-Jan-21 14:49 ±","3.33/0.00855","3.32/0.00853","17.32","17.30","1.38e+03","26.1","5","APO*"
"(2015 XC)","2015-Dec-08 10:20 ±","3.34/0.00859","3.34/0.00859","8.16","8.12","8.81e+05","25.2","16","APO*"
"(2016 GS2)","2016-May-18 02:03 ±","3.40/0.00875","3.40/0.00874","8.01","7.98","6.48e+05","23.0","43","APO*"
"(2015 VC1)","2015-Oct-22 21:26 ±   00:01","3.41/0.00876","3.40/0.00874","4.30","4.23","540","27.2","7","APO*"
"(2016 CD31)","2016-Feb-12 07:17 ±","3.42/0.00878","3.41/0.00877","14.36","14.34","2.02e+03","26.9","7","APO*"
"(2016 QB11)","2016-Aug-31 20:57 ±","3.45/0.00886","3.44/0.00884","22.64","22.62","1.18e+03","25.8","4","APO*"
"(2016 EO156)","2016-Mar-19 02:10 ±","3.55/0.00912","3.54/0.00911","5.87","5.82","858","28.9","6","APO*"
"(2015 WV12)","2015-Nov-28 08:57 ±","3.56/0.00915","3.56/0.00914","8.65","8.62","1.8e+03","26.9","7","APO*"
"(2016 NL39)","2016-Jul-06 21:28 ±","3.61/0.00927","3.60/0.00926","4.28","4.22","2.47e+03","27.6","19","APO*"
"(2016 LV)","2016-Jun-01 23:43 ±","3.61/0.00927","3.61/0.00927","10.36","10.33","3.09e+03","23.1","13","APO*"
"(2016 QL44)","2016-Sep-17 14:28 ±","3.61/0.00928","3.60/0.00925","13.75","13.73","636","25.1","8","APO*"
"(2016 RY17)","2016-Sep-09 18:01 ±","3.62/0.00930","3.62/0.00929","11.14","11.12","1.55e+03","25.4","1","APO*"
"(2016 CK31)","2016-Feb-09 14:43 ±","3.64/0.00936","3.64/0.00935","7.41","7.37","3.01e+03","27.1","6","APO*"
"(2016 CE31)","2016-Jan-31 09:51 ±","3.73/0.00960","3.73/0.00958","7.38","7.34","1.17e+03","27.6","8","APO*"
"(2014 UR)","2015-Oct-18 09:03 ±","3.81/0.00980","3.81/0.00980","4.40","4.34","3.54e+06","26.6","24","ATE*"
"(2015 VK64)","2015-Nov-03 19:28 ±   00:01","3.84/0.00986","3.83/0.00984","11.26","11.24","1.09e+03","27.4","2","APO*"
"(2015 XG352)","2015-Dec-01 14:50 ±","3.85/0.00988","3.83/0.00985","14.32","14.30","674","25.5","3","APO*"
"(2016 JX24)","2016-May-04 00:09 ±","3.91/0.01005","3.90/0.01003","6.02","5.97","620","25.5","6","ATE*"
"(2016 CK137)","2016-Feb-02 09:42 ±","3.92/0.01006","3.89/0.00999","10.16","10.13","268","27.4","4","APO*"
"(2015 YC1)","2015-Dec-22 12:35 ±","3.92/0.01008","3.92/0.01006","8.06","8.02","1.31e+03","26.1","7","APO*"
"(2016 ED1)","2016-Mar-01 14:05 ±","3.97/0.01021","3.97/0.01019","9.24","9.21","1.23e+03","25.8","4","APO*"
"(2015 TG24)","2015-Oct-12 08:06 ±","3.99/0.01026","3.99/0.01025","9.62","9.59","2.46e+03","26.7","6","ATE*"
"(2015 XD169)","2015-Dec-06 02:29 ±","4.06/0.01042","4.05/0.01042","3.85","3.78","2.6e+03","26.9","14","APO*"
"(2016 RU1)","2016-Sep-03 15:45 ±","4.09/0.01051","4.08/0.01049","10.21","10.19","1.07e+03","27.6","5","APO*"
"(2016 JB)","2016-May-04 10:29 ±","4.09/0.01052","4.09/0.01051","5.78","5.74","3.57e+03","27.0","12","ATE*"
"(2016 EJ85)","2016-Mar-06 01:03 ±","4.10/0.01053","4.09/0.01052","7.45","7.42","1.81e+03","25.7","11","APO*"
"(2016 BF1)","2016-Jan-12 13:56 ±","4.15/0.01067","4.13/0.01062","8.21","8.18","348","25.4","5","APO*"
"(2015 TZ143)","2015-Oct-22 05:43 ±","4.20/0.01080","4.20/0.01078","10.25","10.23","1.33e+03","26.3","9","APO*"
"(2016 CH29)","2016-Jan-29 15:04 ±","4.24/0.01090","4.23/0.01086","15.19","15.17","651","26.2","3","APO*"
"(2015 TM145)","2015-Oct-07 11:47 ±","4.26/0.01095","4.22/0.01085","21.57","21.56","285","24.7","5","APO*"
"(2016 NN15)","2016-Jul-08 06:02 ±","4.31/0.01108","4.31/0.01108","7.94","7.91","3.65e+04","26.8","6","AMO*"
"(2016 GY2)","2016-Apr-03 11:56 ±","4.33/0.01112","4.31/0.01108","9.96","9.93","565","26.1","2","ATE*"
"(2016 AV64)","2016-Jan-01 18:58 ±","4.33/0.01113","4.29/0.01101","14.63","14.62","215","27.0","2","APO*"
"(2015 UR67)","2015-Oct-27 10:10 ±","4.37/0.01123","4.36/0.01121","12.27","12.25","1.15e+03","26.3","14","APO*"
"(2016 GB222)","2016-Apr-21 02:25 ±","4.42/0.01136","4.41/0.01134","11.58","11.56","926","26.8","8","APO*"
"(2016 GD207)","2016-Apr-22 10:28 ±","4.43/0.01139","4.42/0.01136","6.33","6.29","647","25.9","9","APO*"
"(2016 FG39)","2016-Apr-10 08:22 ±","4.44/0.01141","4.42/0.01136","7.65","7.62","461","26.8","5","APO*"
"(2016 EK85)","2016-Mar-03 10:19 ±","4.46/0.01147","4.46/0.01145","17.03","17.02","1.64e+03","25.9","10","APO*"
"(2015 XG55)","2015-Nov-30 10:08 ±","4.51/0.01158","4.48/0.01152","17.67","17.66","509","27.7","2","APO*"
"(2016 OA)","2016-Jul-18 08:15 ±","4.51/0.01159","4.50/0.01155","17.63","17.61","696","25.4","2","APO*"
"(2016 EL157)","2016-Mar-18 11:51 ±","4.54/0.01167","4.54/0.01165","11.51","11.49","1.38e+03","27.1","8","APO*"
"(2016 LC9)","2016-May-31 14:37 ±","4.55/0.01169","4.54/0.01168","4.07","4.01","1.37e+03","27.0","3","ATE*"
"(2016 GF2)","2016-Apr-08 03:22 ±","4.61/0.01185","4.59/0.01179","13.03","13.02","392","26.6","5","APO*"
"(2016 HF2)","2016-Apr-21 14:27 ±","4.62/0.01188","4.62/0.01186","6.24","6.21","1.29e+03","26.2","12","ATE*"
"(2016 DX30)","2016-Feb-09 07:51 ±","4.63/0.01191","4.61/0.01186","10.64","10.62","429","26.5","2","APO*"
"(2016 HK)","2016-May-01 01:28 ±","4.65/0.01195","4.65/0.01195","7.59","7.56","1.68e+05","24.8","13","ATE*"
"(2016 DL1)","2016-Mar-01 18:22 ±","4.68/0.01202","4.68/0.01201","8.61","8.59","3.15e+03","26.8","6","APO*"
"(2015 TK21)","2015-Oct-12 07:02 ±","4.77/0.01227","4.77/0.01225","10.38","10.36","1.01e+03","26.4","8","APO*"
"(2016 CK248)","2016-Feb-24 09:29 ±","4.81/0.01237","4.80/0.01233","9.78","9.76","564","26.8","4","APO*"
"(2015 WN1)","2015-Nov-13 18:51 ±","4.83/0.01242","4.82/0.01238","9.28","9.26","662","26.5","7","APO*"
"(2016 ND39)","2016-Jul-16 16:46 ±","4.86/0.01248","4.86/0.01248","13.58","13.57","1.97e+05","25.2","5","APO*"
"(2016 CW30)","2016-Feb-12 15:35 ±","4.89/0.01257","4.88/0.01253","12.20","12.18","665","26.7","6","APO*"
"(2016 JG29)","2016-May-09 00:54 ±","4.90/0.01258","4.88/0.01254","14.63","14.62","561","25.4","5","APO*"
"(2015 YC2)","2016-Jan-15 07:21 ±","4.93/0.01266","4.92/0.01264","15.43","15.42","2.37e+03","23.3","20","APO*"
"(2008 HU4)","2016-Apr-16 09:31 ±","4.94/0.01269","4.94/0.01269","1.44","1.28","2.75e+05","28.2","23","APO*"
"(2016 BV)","2016-Jan-13 07:52 ±","5.00/0.01285","4.94/0.01270","10.29","10.27","168","26.0","3","APO*"
"(2016 CS247)","2016-Feb-09 02:16 ±","5.02/0.01291","5.02/0.01290","3.98","3.93","4.44e+03","25.5","18","APO*"
"(2015 XP169)","2015-Dec-05 02:31 ±","5.03/0.01292","5.01/0.01286","10.47","10.45","424","26.1","6","APO*"
"(2015 YH)","2015-Dec-10 22:39 ±   00:02","5.03/0.01294","4.96/0.01274","6.91","6.88","115","27.9","2","APO*"
"(2015 XC352)","2015-Dec-30 19:01 ±","5.18/0.01332","5.18/0.01332","4.60","4.55","3.43e+05","25.7","18","APO*"
"(2016 HT6)","2016-Apr-15 14:26 ±   00:23","5.21/0.01340","5.10/0.01311","10.76","10.74","94.3","25.7","3","APO*"
"(2015 VU65)","2015-Nov-14 22:04 ±","5.23/0.01343","5.21/0.01339","13.36","13.34","793","26.4","10","APO*"
"(2016 GK134)","2016-Apr-09 11:57 ±","5.23/0.01343","5.21/0.01338","11.32","11.30","541","27.3","3","APO*"
"(2015 XV351)","2015-Dec-29 01:12 ±   00:02","5.36/0.01377","5.34/0.01372","6.21","6.18","4.26e+03","26.0","5","APO*"
"(2016 FX13)","2016-Mar-16 18:38 ±   00:25","5.40/0.01386","5.06/0.01301","14.43","14.41","84","26.7","3","APO*"
"(2016 EB1)","2016-Mar-10 06:16 ±","5.40/0.01389","5.40/0.01387","14.47","14.46","2.01e+03","25.4","9","APO*"
"(2015 UK)","2015-Oct-10 09:33 ±   00:03","5.45/0.01400","5.39/0.01384","9.93","9.91","173","26.4","2","APO*"
"(2015 VM64)","2015-Nov-10 21:57 ±","5.46/0.01403","5.45/0.01401","18.64","18.63","1.48e+03","26.1","8","APO*"
"(2016 LB)","2016-Jun-03 09:07 ±","5.50/0.01413","5.50/0.01412","16.73","16.72","2.73e+03","22.8","8","APO*"
"(2016 JU5)","2016-Apr-28 12:36 ±   00:02","5.50/0.01414","5.32/0.01366","18.80","18.79","69.4","26.2","2","APO*"
"(2015 YE1)","2015-Dec-22 11:29 ±","5.52/0.01419","5.51/0.01417","10.30","10.28","1.22e+03","27.4","9","APO*"
"(2015 VN105)","2015-Nov-16 09:23 ±","5.54/0.01423","5.52/0.01419","11.01","10.99","662","27.6","6","APO*"
"(2016 JW28)","2016-May-14 12:21 ±","5.56/0.01428","5.53/0.01422","12.40","12.38","465","25.4","4","APO*"
"(2015 YT)","2015-Dec-10 07:38 ±   00:03","5.57/0.01431","5.54/0.01424","8.32","8.30","352","25.8","3","ATE*"
"(2016 CZ247)","2016-Feb-10 06:51 ±   00:02","5.58/0.01434","5.52/0.01418","11.69","11.67","183","26.9","3","APO*"
"(2016 GW220)","2016-Apr-10 23:41 ±","5.66/0.01455","5.65/0.01452","13.24","13.22","1.3e+03","26.6","6","APO*"
"(2016 RF34)","2016-Sep-12 15:31 ±","5.67/0.01457","5.66/0.01455","8.18","8.16","1.95e+03","24.4","5","APO*"
"(2016 BN14)","2016-Jan-24 05:52 ±   00:04","5.67/0.01458","5.63/0.01447","22.42","22.41","381","26.5","2","APO*"
"(2015 WB1)","2015-Nov-15 20:50 ±","5.74/0.01476","5.73/0.01473","15.31","15.29","1.51e+03","23.5","15","APO*"
"(2016 ES155)","2016-Mar-17 16:17 ±","5.75/0.01476","5.72/0.01471","21.47","21.46","662","24.3","7","APO*"
"(2016 KL)","2016-Jun-11 00:12 ±","5.75/0.01477","5.74/0.01475","9.01","8.99","1.49e+03","25.8","12","APO*"
"(2015 TA238)","2015-Oct-13 05:28 ±","5.78/0.01485","5.77/0.01482","8.62","8.60","881","26.2","3","APO*"
"(2016 DB1)","2016-Feb-26 04:01 ±","5.78/0.01485","5.78/0.01484","7.87","7.84","2.64e+03","26.5","6","APO*"
"(2015 VC2)","2016-Jan-28 12:59 ±","5.80/0.01491","5.80/0.01491","1.16","0.99","2.53e+05","27.4","33","APO*"
"(2016 BU)","2016-Jan-23 19:26 ±","5.82/0.01496","5.80/0.01491","6.26","6.23","518","26.7","4","ATE*"
"(2005 OH3)","2016-Aug-03 07:13 ± 2_08:01","5.84/0.01502","5.26/0.01352","3.53","3.48","2.42e+05","26.0","9","AMO*"
"(2016 FY12)","2016-Apr-17 19:16 ±","5.85/0.01503","5.84/0.01500","13.29","13.27","1.04e+03","26.3","7","APO*"
"(2016 BE)","2016-Feb-01 00:26 ±","5.86/0.01505","5.86/0.01505","9.40","9.38","6.75e+04","23.7","19","APO*"
"(2016 LR)","2016-Jun-09 02:29 ±","5.89/0.01512","5.87/0.01508","12.31","12.30","677","26.3","6","APO*"
"(2015 VH65)","2015-Nov-11 10:02 ±","5.89/0.01514","5.88/0.01512","8.17","8.14","1.34e+03","27.7","5","ATE*"
"(2015 TL21)","2015-Oct-06 02:42 ±","5.90/0.01517","5.90/0.01515","15.49","15.48","1.49e+03","26.6","13","APO*"
"(2016 DM1)","2016-Mar-03 18:25 ±","5.91/0.01519","5.91/0.01518","14.65","14.64","1.9e+03","26.1","8","APO*"
"413577 (2005 UL5)","2015-Nov-20 04:14 ±","5.95/0.01528","5.95/0.01528","18.99","18.98","5.85e+06","20.2","73","ATE*"
"(2016 RU33)","2016-Sep-16 01:14 ±","6.00/0.01542","5.99/0.01538","6.78","6.76","682","27.5","1","APO*"
"(2016 RH17)","2016-Sep-11 00:49 ±","6.06/0.01557","6.02/0.01548","14.09","14.08","364","23.6","2","APO*"
"(2016 CN194)","2016-Feb-13 13:57 ±","6.11/0.01570","6.10/0.01568","8.26","8.24","1.34e+03","27.0","5","APO*"
"(2016 PW8)","2016-Aug-12 03:37 ±","6.13/0.01575","6.12/0.01572","14.14","14.13","1.11e+03","26.1","4","APO*"
"(2016 RM40)","2016-Sep-08 11:22 ±","6.14/0.01577","6.10/0.01569","23.17","23.16","451","24.7","2","APO*"
"(2016 DK1)","2016-Feb-20 17:17 ±","6.15/0.01580","6.14/0.01577","7.38","7.35","1.03e+03","27.4","19","APO*"
"(2009 DL46)","2016-May-24 17:59 ±","6.16/0.01583","6.16/0.01583","6.46","6.44","2.03e+07","21.5","67","APO*"
"(2016 AP131)","2016-Jan-11 06:57 ±","6.16/0.01584","6.15/0.01581","8.14","8.12","873","27.0","3","APO*"
"(2016 PN39)","2016-Jul-29 11:37 ±","6.17/0.01586","6.17/0.01585","10.02","10.01","5.58e+03","25.5","3","APO*"
"(2016 RM20)","2016-Sep-20 10:29 ±   00:01","6.22/0.01598","6.18/0.01588","5.78","5.75","283","26.2","2","APO*"
"(2016 JU28)","2016-May-07 10:48 ±","6.23/0.01600","6.19/0.01592","8.13","8.11","366","27.6","3","ATE*"
"(2015 UH52)","2015-Oct-20 22:45 ±","6.23/0.01600","6.22/0.01597","10.79","10.78","1.08e+03","26.0","10","ATE*"
"(2016 RM17)","2016-Sep-01 12:37 ±","6.26/0.01610","6.24/0.01603","6.35","6.32","429","27.6","3","APO*"
"(2016 EG85)","2016-Mar-04 00:32 ±","6.29/0.01616","6.26/0.01609","11.21","11.20","456","26.8","5","APO*"
"(2016 NM15)","2016-Jul-06 21:39 ±   00:01","6.30/0.01618","6.29/0.01616","3.20","3.15","1.46e+03","27.5","2","AMO*"
"(2015 VO64)","2015-Nov-06 21:38 ±","6.31/0.01621","6.30/0.01619","10.48","10.47","2.4e+03","26.3","7","APO*"
"(2015 XV1)","2015-Dec-09 07:24 ±","6.33/0.01628","6.31/0.01621","12.00","11.99","493","26.9","7","APO*"
"(2016 BJ15)","2016-Jan-25 11:56 ±","6.34/0.01629","6.33/0.01626","11.04","11.02","1.2e+03","23.4","17","APO*"
"(2016 FY3)","2016-Apr-25 11:48 ±","6.35/0.01632","6.35/0.01632","20.69","20.68","2.22e+04","20.7","34","APO*"
"(2015 YQ10)","2015-Dec-19 21:25 ±   00:01","6.38/0.01638","6.34/0.01628","8.99","8.97","291","27.0","2","APO*"
"(2016 LJ8)","2016-Jun-13 07:39 ±","6.39/0.01642","6.36/0.01635","9.07","9.05","461","25.1","7","APO*"
"(2016 PQ26)","2016-Jul-15 21:55 ±   00:36","6.40/0.01644","6.33/0.01625","13.48","13.47","229","24.0","1","APO*"
"(2015 YS9)","2015-Dec-25 17:28 ±","6.43/0.01651","6.41/0.01646","8.43","8.42","597","26.0","10","APO*"
"(2016 AW192)","2016-Jan-08 14:07 ±   00:03","6.45/0.01657","6.37/0.01637","19.96","19.95","198","25.3","3","APO*"
"(2016 EU28)","2016-Mar-12 06:51 ±","6.45/0.01659","6.41/0.01646","13.31","13.30","281","25.9","6","APO*"
"(2016 HA)","2016-Apr-22 08:57 ±","6.49/0.01667","6.47/0.01663","12.35","12.34","768","26.2","7","APO*"
"(2016 HY23)","2016-Apr-28 00:52 ±   00:03","6.55/0.01682","6.52/0.01676","7.30","7.28","517","26.9","2","AMO*"
"(2015 XE55)","2015-Nov-16 22:41 ±   00:14","6.57/0.01689","6.51/0.01674","8.98","8.96","222","26.0","2","APO*"
"(2016 AT193)","2016-Jan-06 14:40 ±   00:03","6.58/0.01692","6.51/0.01673","14.98","14.96","196","26.6","2","APO*"
"(2016 MO)","2016-Jul-07 13:22 ±","6.64/0.01706","6.63/0.01702","7.72","7.70","816","24.9","7","APO*"
"(2016 CD137)","2016-Feb-19 05:23 ±","6.64/0.01707","6.64/0.01705","7.47","7.45","1.54e+03","26.1","8","APO*"
"(2016 NE39)","2016-Jul-26 12:25 ±   00:04","6.65/0.01709","6.56/0.01686","18.29","18.28","180","23.4","2","APO*"
"(2012 XT111)","2015-Dec-05 01:17 ±","6.69/0.01719","6.69/0.01719","14.52","14.51","4.71e+04","25.9","10","APO*"
"(2016 EF156)","2016-Mar-17 06:13 ±","6.69/0.01720","6.68/0.01716","17.48","17.47","1.06e+03","24.7","6","ATE*"
"(2016 GD222)","2016-Apr-13 17:50 ±","6.69/0.01720","6.68/0.01716","8.72","8.70","804","25.9","7","APO*"
"(2016 EP84)","2016-Feb-17 21:26 ±","6.71/0.01725","6.71/0.01724","2.88","2.82","1.34e+04","27.4","18","APO*"
"(2016 JX5)","2016-Apr-24 13:15 ±   00:03","6.71/0.01725","6.69/0.01718","6.95","6.92","453","27.0","4","APO*"
"(2016 CA30)","2016-Jan-22 09:13 ±   00:02","6.73/0.01728","6.65/0.01709","6.51","6.49","156","27.5","4","APO*"
"(2015 XV261)","2015-Dec-08 03:07 ±","6.78/0.01743","6.77/0.01740","12.00","11.99","946","25.4","6","APO*"
"(2016 EV84)","2016-Mar-10 19:24 ±","6.80/0.01747","6.79/0.01746","7.50","7.48","2.2e+03","26.8","10","ATE*"
"(2016 DY21)","2016-Feb-19 18:28 ±","6.80/0.01748","6.79/0.01744","12.70","12.69","1.34e+03","25.8","8","APO*"
"(2016 DG)","2016-Feb-14 03:25 ±","6.82/0.01753","6.79/0.01745","7.88","7.86","407","27.7","2","APO*"
"(2016 AD65)","2015-Dec-27 21:13 ±   00:03","6.86/0.01764","6.78/0.01742","8.93","8.91","147","27.0","3","APO*"
"(2015 VA106)","2015-Nov-06 20:48 ±","6.91/0.01775","6.90/0.01774","11.53","11.52","3.51e+03","22.6","22","APO*"
"(2016 CZ30)","2016-Feb-05 13:05 ±","6.93/0.01781","6.92/0.01779","12.22","12.20","1.69e+03","25.7","6","APO*"
"(2015 XX378)","2015-Dec-24 01:53 ±","6.94/0.01783","6.93/0.01781","15.32","15.31","1.38e+03","24.8","4","APO*"
"(2015 VC106)","2015-Nov-18 01:33 ±","6.99/0.01797","6.98/0.01795","6.01","5.99","1.56e+03","26.3","6","APO*"
"(2016 EE1)","2016-Feb-28 23:22 ±","7.03/0.01807","7.01/0.01800","15.08","15.07","586","24.5","5","APO*"
"(2015 XV384)","2015-Dec-19 03:16 ±   01:10","7.04/0.01809","6.94/0.01782","9.72","9.71","185","26.4","2","APO*"
"(2015 XE)","2015-Nov-23 12:13 ±","7.05/0.01812","7.05/0.01812","5.73","5.70","1.07e+04","24.7","21","APO*"
"(2016 KJ)","2016-May-27 08:42 ±","7.11/0.01827","7.06/0.01815","20.71","20.71","350","24.8","4","APO*"
"(2016 FY13)","2016-Mar-17 16:30 ±   00:30","7.11/0.01828","6.69/0.01720","13.62","13.61","35.9","23.9","2","ATE*"
"(2016 AT131)","2016-Jan-08 06:52 ±","7.14/0.01834","7.12/0.01829","6.16","6.13","633","27.4","8","APO*"
"(2015 VD105)","2015-Nov-16 23:50 ±","7.22/0.01856","7.21/0.01853","12.75","12.73","1.19e+03","24.6","5","APO*"
"(2016 AY64)","2016-Jan-01 18:35 ±","7.24/0.01860","7.18/0.01845","11.19","11.18","258","26.3","5","APO*"
"(2016 QY1)","2016-Aug-10 03:14 ±   00:02","7.25/0.01863","7.23/0.01858","12.32","12.31","988","23.3","9","APO*"
"(2016 NC1)","2016-Jul-13 00:34 ±","7.28/0.01870","7.27/0.01867","4.45","4.42","1.35e+03","25.5","3","ATE*"
"(2016 CA248)","2016-Feb-09 11:36 ±   00:01","7.32/0.01882","7.25/0.01862","8.57","8.56","178","27.8","3","APO*"
"(2016 NB56)","2016-Jul-08 04:14 ±   00:02","7.33/0.01884","7.21/0.01853","17.58","17.57","757","24.3","1","APO*"
"(2015 YJ1)","2015-Dec-24 00:53 ±","7.38/0.01896","7.35/0.01888","6.08","6.06","425","27.6","5","APO*"
"(2016 GC)","2016-Mar-29 00:58 ±","7.38/0.01897","7.35/0.01889","8.17","8.15","454","26.4","5","APO*"
"(2016 DF1)","2016-Feb-20 22:43 ±","7.39/0.01900","7.37/0.01893","21.24","21.24","681","24.3","10","APO*"
"(2015 XA169)","2015-Dec-12 14:59 ±","7.41/0.01904","7.39/0.01898","10.31","10.30","630","27.4","9","APO*"
"(2016 LT10)","2016-Jun-12 14:58 ±","7.42/0.01907","7.41/0.01904","4.68","4.65","1.1e+03","26.8","5","APO*"
"(2016 AE65)","2015-Dec-21 17:59 ±   00:10","7.46/0.01916","7.32/0.01882","8.61","8.60","128","24.7","4","ATE*"
"(2015 VE66)","2015-Nov-21 22:32 ±","7.47/0.01919","7.47/0.01918","7.22","7.20","5.89e+03","24.1","32","APO*"
"(2015 WA13)","2015-Dec-06 15:19 ±","7.48/0.01921","7.48/0.01921","4.30","4.26","1e+06","26.1","17","APO*"
"(2015 VG65)","2015-Nov-05 04:28 ±","7.59/0.01949","7.56/0.01943","14.97","14.96","736","26.1","6","APO*"
"(2016 PX8)","2016-Aug-11 08:34 ±","7.60/0.01953","7.52/0.01933","9.84","9.83","190","27.1","2","APO*"
"(2014 JG55)","2016-May-08 00:32 ±   15:55","7.61/0.01956","0.82/0.00210","10.55","10.54","3.35","29.2","3","APO*"
"(2016 AN9)","2016-Jan-07 00:55 ±","7.67/0.01971","7.63/0.01960","8.73","8.72","327","26.8","3","APO*"
"(2016 RW1)","2016-Sep-03 20:19 ±","7.70/0.01978","7.68/0.01972","7.50","7.49","586","27.0","3","AMO*"
"(2005 GR33)","2016-Apr-13 03:28 ±","7.72/0.01985","7.72/0.01985","15.87","15.87","2.1e+05","22.0","25","ATE*"
"(2016 GH3)","2016-Apr-08 01:41 ±","7.85/0.02017","7.84/0.02015","5.65","5.62","1.94e+03","27.4","10","AMO*"
"(2016 FH12)","2016-Apr-23 00:15 ±   00:04","7.87/0.02023","7.76/0.01995","8.71","8.70","408","26.6","4","APO*"
"(2016 EE28)","2016-Feb-24 22:41 ±   00:01","7.88/0.02024","7.86/0.02019","3.80","3.77","615","26.8","6","APO*"
"(2016 QS44)","2016-Sep-10 05:03 ±","7.95/0.02044","7.89/0.02027","17.37","17.36","284","24.4","5","APO*"
"(2016 GK135)","2016-Mar-26 13:53 ±   00:05","8.00/0.02057","7.98/0.02050","2.48","2.43","509","28.3","5","ATE*"
"(2016 CU29)","2016-Feb-11 00:00 ±","8.03/0.02064","8.02/0.02061","9.03","9.01","1.15e+03","26.7","12","APO*"
"(2015 XV168)","2015-Nov-30 22:38 ±   00:01","8.06/0.02070","8.02/0.02061","5.02","5.00","371","27.4","2","APO*"
"(2015 YQ)","2015-Dec-11 11:36 ±   00:01","8.10/0.02082","8.05/0.02068","17.39","17.38","343","24.2","6","APO*"
"(2015 XA379)","2016-Feb-07 02:38 ±","8.12/0.02085","8.12/0.02085","2.73","2.69","2.43e+04","25.4","45","APO*"
