"Object","Close-Approach (CA) Date (TDB)YYYY-mmm-DD HH:MM ± D_HH:MM","CA DistanceNominal(LD/AU)","CA DistanceMinimum(LD/AU)","Vrelative(km/s)","Vinfinity(km/s)","Nsigma","H(mag)","ref","class"
"(2016 AH65)","2016-Jan-04 03:59 ±","8.20/0.02107","8.17/0.02099","8.76","8.75","480","25.8","6","APO*"
"(2015 VH1)","2015-Nov-04 12:00 ±","8.20/0.02108","8.19/0.02104","5.08","5.06","981","27.4","11","APO*"
"(2016 AU193)","2015-Dec-31 08:59 ±   00:01","8.24/0.02119","8.06/0.02070","21.92","21.92","110","25.3","2","APO*"
"(2015 UL52)","2015-Oct-25 21:53 ±","8.28/0.02128","8.27/0.02125","6.69","6.67","1.15e+03","25.0","9","APO*"
"(2016 EQ1)","2016-Mar-24 04:47 ±","8.29/0.02131","8.27/0.02126","5.70","5.68","754","26.3","14","APO*"
"(2016 LO48)","2016-Jun-08 20:35 ±","8.34/0.02143","8.34/0.02143","6.16","6.14","6.75e+05","25.4","13","AMO*"
"(2015 VE)","2015-Oct-29 12:23 ±","8.34/0.02144","8.34/0.02142","5.93","5.91","1.79e+03","25.8","10","APO*"
"(2016 CQ246)","2016-Feb-15 08:04 ±","8.35/0.02146","8.34/0.02142","17.54","17.53","1.44e+03","25.3","3","APO*"
"(2016 EE)","2016-Feb-22 23:22 ±","8.35/0.02146","8.32/0.02139","9.80","9.79","601","25.5","5","APO*"
"(2016 RP17)","2016-Sep-01 15:35 ±","8.39/0.02157","8.36/0.02148","19.33","19.33","624","24.5","9","APO*"
"(2016 FW3)","2016-Mar-25 05:20 ±","8.41/0.02160","8.39/0.02156","8.75","8.73","1.03e+03","25.5","8","APO*"
"(2015 XX169)","2015-Dec-14 15:01 ±","8.41/0.02160","8.39/0.02156","6.35","6.33","826","27.4","4","ATE*"
"(2015 TC144)","2015-Oct-08 20:35 ±","8.47/0.02176","8.43/0.02167","24.67","24.67","629","24.4","7","APO*"
"(2016 NL22)","2016-Jul-07 00:14 ±","8.47/0.02178","8.44/0.02169","10.62","10.61","518","24.7","4","APO*"
"(2016 HF3)","2016-May-18 17:14 ±","8.49/0.02182","8.49/0.02181","7.56","7.55","5.87e+03","24.8","38","AMO*"
"(2016 BQ15)","2016-Feb-08 19:50 ±","8.52/0.02190","8.51/0.02187","20.83","20.82","1.75e+03","25.1","7","APO*"
"(2016 GV221)","2016-Apr-21 23:01 ±","8.56/0.02198","8.54/0.02193","8.91","8.89","804","25.0","12","APO*"
"(2016 RV33)","2016-Sep-05 00:16 ±","8.60/0.02210","8.54/0.02195","8.53","8.52","265","26.5","1","APO*"
"(2016 BK1)","2016-Jan-17 09:55 ±","8.65/0.02222","8.63/0.02218","8.43","8.42","1.19e+03","24.8","8","APO*"
"(2016 RL17)","2016-Sep-09 04:16 ±","8.69/0.02233","8.67/0.02229","7.72","7.70","971","26.6","3","ATE*"
"(2016 NS)","2016-Jul-20 17:41 ±","8.69/0.02234","8.68/0.02231","5.02","4.99","1.14e+03","25.5","10","AMO*"
"(2016 AX164)","2016-Jan-09 16:49 ±","8.70/0.02236","8.68/0.02231","7.87","7.85","944","26.2","3","APO*"
"(2016 MH3)","2016-Jun-11 09:51 ±   04:28","8.73/0.02243","8.10/0.02081","5.24","5.21","53.3","27.0","1","ATE*"
"(2016 JX11)","2016-May-07 02:48 ±","8.73/0.02243","8.71/0.02239","17.90","17.90","1.27e+03","24.9","4","APO*"
"(2016 RZ17)","2016-Sep-07 00:36 ±","8.77/0.02254","8.75/0.02247","14.81","14.81","750","25.5","3","APO*"
"(2016 EO55)","2016-Mar-02 09:22 ±","8.82/0.02266","8.81/0.02263","7.08","7.06","1.37e+03","25.1","13","APO*"
"(2015 WZ12)","2015-Dec-01 09:33 ±","8.82/0.02267","8.82/0.02267","7.89","7.88","9.13e+03","26.4","11","ATE*"
"(2016 GC1)","2016-Apr-21 10:51 ±","8.83/0.02269","8.81/0.02263","8.36","8.35","625","26.6","9","APO*"
"(2015 YK)","2015-Dec-22 14:11 ±","8.86/0.02276","8.85/0.02275","3.33","3.29","3.3e+03","25.9","12","APO*"
"(2016 HP6)","2016-May-02 03:54 ±","8.90/0.02286","8.88/0.02282","5.96","5.94","906","25.4","6","APO*"
"(2016 PE8)","2016-Jul-22 06:41 ±   00:10","8.94/0.02298","8.63/0.02217","9.68","9.67","106","26.6","1","APO*"
"(2016 OF)","2016-Jul-12 08:32 ±","8.97/0.02304","8.92/0.02292","9.04","9.03","341","23.0","8","APO*"
"(2015 XH261)","2015-Nov-24 14:42 ±   00:09","8.97/0.02305","8.61/0.02213","12.22","12.21","183","24.6","3","APO*"
"(2015 VV105)","2015-Nov-13 19:18 ±","8.98/0.02306","8.96/0.02301","5.54","5.52","744","28.3","4","APO*"
"(2016 EH1)","2016-Feb-24 16:05 ±","9.01/0.02315","9.00/0.02312","8.94","8.92","1.85e+03","22.7","16","ATE*"
"(2016 OV)","2016-Aug-07 10:42 ±","9.04/0.02323","9.01/0.02316","12.47","12.46","776","24.7","8","APO*"
"(2016 GC134)","2016-Apr-13 05:55 ±","9.04/0.02323","9.01/0.02315","4.75","4.72","455","26.0","6","APO*"
"(2015 VZ145)","2015-Dec-08 08:33 ±","9.18/0.02359","9.18/0.02359","7.40","7.38","1.58e+05","23.5","23","APO*"
"P/2016 BA14 (PANSTARRS)","2016-Mar-22 15:31 ±","9.21/0.02366","9.21/0.02366","14.01","14.00","2.5e+07","n/a","56","JFc*"
"(2010 FX9)","2016-Mar-19 11:38 ±","9.22/0.02370","9.22/0.02370","11.31","11.30","5.31e+05","24.2","22","APO*"
"(2016 CN29)","2016-Jan-27 06:58 ±   00:01","9.23/0.02372","9.15/0.02351","18.43","18.42","311","24.3","4","APO*"
"(2016 AF166)","2016-Jan-21 03:16 ±","9.25/0.02377","9.21/0.02365","11.53","11.52","408","25.4","4","APO*"
"(2015 XW384)","2015-Dec-03 08:43 ±   09:18","9.30/0.02389","9.09/0.02335","12.49","12.48","34.9","25.8","2","APO*"
"(2015 YV9)","2015-Dec-26 15:03 ±","9.36/0.02405","9.34/0.02399","7.40","7.38","749","25.8","5","APO*"
"(2016 LQ)","2016-May-28 01:50 ±   00:01","9.39/0.02413","9.33/0.02398","15.43","15.42","385","25.1","3","APO*"
"(2015 XV129)","2015-Dec-05 16:28 ±","9.41/0.02419","9.40/0.02415","6.94","6.93","945","26.9","5","APO*"
"(2014 US115)","2016-May-01 01:55 ±   02:12","9.42/0.02420","7.42/0.01907","9.61","9.60","5.5e+03","24.6","9","APO*"
"(2015 UH)","2015-Oct-29 17:57 ±","9.43/0.02423","9.36/0.02405","9.83","9.81","258","25.4","5","APO*"
"(2016 JE18)","2016-May-11 15:48 ±","9.43/0.02424","9.42/0.02420","8.52","8.51","1.19e+03","26.3","4","APO*"
"(2015 XQ129)","2015-Nov-16 16:21 ±   00:48","9.44/0.02425","9.05/0.02326","17.76","17.75","137","24.5","3","APO*"
"(2015 TB25)","2015-Oct-11 17:54 ±","9.51/0.02445","9.50/0.02441","9.55","9.54","1.15e+03","24.5","9","APO*"
"(2015 XU169)","2015-Dec-10 03:05 ±","9.52/0.02446","9.49/0.02438","8.52","8.50","533","27.0","4","APO*"
"(2016 CE194)","2016-Feb-06 23:23 ±","9.52/0.02447","9.51/0.02443","9.19","9.18","1.13e+03","26.1","9","APO*"
"(2015 XB128)","2015-Nov-25 13:29 ±","9.54/0.02452","9.49/0.02439","9.21","9.20","357","25.2","4","ATE*"
"(2016 FL12)","2016-Apr-13 08:58 ±","9.56/0.02457","9.53/0.02450","5.83","5.81","596","26.3","12","APO*"
"(2015 WC1)","2015-Nov-20 09:09 ±","9.68/0.02487","9.67/0.02485","6.08","6.07","1.71e+03","25.2","22","APO*"
"(2015 VT64)","2015-Nov-09 19:14 ±","9.68/0.02488","9.66/0.02482","10.07","10.06","938","26.0","11","APO*"
"(2011 YD29)","2015-Dec-24 05:20 ±   23:21","9.68/0.02488","7.00/0.01800","7.04","7.02","1.79e+04","26.3","4","ATE*"
"(2016 EJ27)","2016-Mar-12 19:04 ±","9.70/0.02492","9.69/0.02489","8.72","8.71","1.59e+03","25.2","11","ATE*"
"(2016 DH)","2016-Feb-15 10:56 ±   00:01","9.72/0.02497","9.69/0.02490","4.32","4.30","591","27.5","5","APO*"
"(2015 XL261)","2015-Dec-17 11:58 ±","9.73/0.02499","9.69/0.02490","10.50","10.49","546","25.5","9","APO*"
"(2015 XZ378)","2016-Jun-13 04:38 ±   00:12","9.73/0.02501","9.67/0.02484","1.64","1.57","608","27.2","6","APO*"
"(2016 FL13)","2016-Apr-15 16:57 ±","9.74/0.02504","9.73/0.02499","11.99","11.99","1.27e+03","25.4","14","APO*"
"(2016 BC14)","2016-Mar-29 13:45 ±","9.79/0.02517","9.79/0.02516","6.29","6.27","1.23e+04","20.9","41","ATE*"
"(2016 FT13)","2016-Apr-07 06:21 ±","9.81/0.02520","9.78/0.02514","13.44","13.43","880","26.9","4","APO*"
"(2016 PQ)","2016-Aug-07 06:21 ±","9.81/0.02520","9.79/0.02516","12.74","12.73","1.49e+03","25.9","7","APO*"
"(2016 KR)","2016-Jun-05 23:01 ±","9.88/0.02538","9.84/0.02529","12.89","12.88","592","25.2","7","APO*"
"(2016 PP27)","2016-Aug-04 01:41 ±","9.92/0.02549","9.90/0.02544","10.89","10.88","926","23.6","6","APO*"
"(2015 XA378)","2015-Dec-19 19:16 ±","10.00/0.02570","10.00/0.02570","17.20","17.19","3.8e+04","25.9","10","APO*"
"(2016 FX7)","2016-Apr-03 21:51 ±","10.08/0.02589","10.05/0.02582","7.78","7.77","670","26.8","6","APO*"
"(2015 VD106)","2015-Nov-09 20:08 ±","10.09/0.02592","10.04/0.02580","8.46","8.45","387","26.8","5","APO*"
"(2016 GZ220)","2016-Apr-21 19:33 ±","10.12/0.02600","10.09/0.02592","8.43","8.42","598","26.2","10","APO*"
"(2016 PP38)","2016-Jul-22 22:54 ±   00:25","10.24/0.02630","9.99/0.02567","5.70","5.68","109","26.8","2","AMO*"
"(2016 AC166)","2016-Jan-09 23:28 ±","10.25/0.02634","10.20/0.02621","19.75","19.74","475","23.3","3","APO*"
"(2016 EJ55)","2016-Feb-24 07:33 ±","10.32/0.02652","10.30/0.02646","6.98","6.97","1.16e+03","24.6","10","APO*"
"(2015 ST6)","2015-Sep-29 03:28 ±","10.33/0.02654","10.28/0.02642","18.09","18.09","522","24.4","6","APO*"
"(2015 YC10)","2016-Jan-04 15:20 ±","10.40/0.02672","10.38/0.02668","15.61","15.60","1.29e+03","24.9","8","APO*"
"(2016 ND1)","2016-Jul-10 03:26 ±","10.43/0.02681","10.41/0.02676","5.08","5.06","908","25.0","6","APO*"
"(2015 VE106)","2015-Nov-11 23:29 ±","10.53/0.02707","10.52/0.02702","6.28","6.26","948","24.3","7","APO*"
"(2015 TD179)","2015-Nov-04 18:01 ±","10.55/0.02710","10.54/0.02708","10.12","10.11","1.87e+03","24.6","13","APO*"
"(2016 CB31)","2016-Feb-24 06:35 ±","10.57/0.02716","10.56/0.02713","8.55","8.54","1.68e+03","25.0","11","APO*"
"(2016 HB)","2016-Apr-12 11:17 ±","10.57/0.02717","10.56/0.02712","7.92","7.91","1.14e+03","24.4","11","APO*"
"(2016 CD136)","2016-Jan-26 13:15 ±   00:01","10.62/0.02728","10.49/0.02696","11.82","11.81","324","25.8","4","APO*"
"(2015 TB1)","2015-Sep-27 17:58 ±","10.64/0.02734","10.58/0.02720","8.25","8.24","333","26.4","8","AMO*"
"(2016 GT)","2016-Mar-22 01:23 ±","10.65/0.02737","10.62/0.02728","7.83","7.82","583","26.0","6","APO*"
"441987 (2010 NY65)","2016-Jun-24 10:30 ±","10.71/0.02753","10.71/0.02753","12.95","12.95","7.37e+07","21.5","66","ATE*"
"(2015 TS238)","2015-Oct-08 06:48 ±   00:04","10.72/0.02753","10.65/0.02737","15.32","15.31","391","25.4","4","APO*"
"(2016 RZ)","2016-Aug-25 09:27 ±   00:03","10.73/0.02758","10.66/0.02740","4.33","4.31","253","26.7","3","ATE*"
"(2016 FB12)","2016-Mar-15 10:52 ±   00:04","10.75/0.02763","10.68/0.02745","6.26","6.24","251","26.0","3","APO*"
"(2016 EW1)","2016-Mar-07 22:14 ±","10.76/0.02765","10.74/0.02760","12.67","12.66","1.13e+03","25.2","7","APO*"
"(2015 WP1)","2015-Oct-29 11:07 ±   00:29","10.78/0.02770","10.59/0.02722","14.12","14.11","173","23.7","3","APO*"
"(2015 WF13)","2015-Dec-07 00:50 ±","10.83/0.02782","10.83/0.02782","8.88","8.87","2.36e+06","23.2","21","APO*"
"(2016 GF135)","2016-Mar-26 09:51 ±   00:01","10.86/0.02791","10.74/0.02759","7.70","7.69","578","26.3","4","APO*"
"33342 (1998 WT24)","2015-Dec-11 13:16 ±","10.89/0.02799","10.89/0.02799","8.51","8.50","8.77e+07","17.9","166","ATE*"
"(2016 EL27)","2016-Mar-10 04:18 ±","10.91/0.02802","10.88/0.02797","9.70","9.69","996","26.1","7","ATE*"
"(2016 BS39)","2016-Jan-16 11:32 ±   00:04","10.98/0.02822","10.85/0.02787","10.51","10.50","160","26.2","2","APO*"
"(2015 XY351)","2015-Dec-06 06:08 ±","11.00/0.02826","10.87/0.02794","7.98","7.97","158","26.8","3","APO*"
"(2016 CV137)","2016-Feb-07 17:46 ±","11.00/0.02827","10.90/0.02801","7.85","7.84","188","27.2","2","APO*"
"(2016 RA34)","2016-Sep-01 16:14 ±","11.01/0.02829","10.97/0.02818","8.86","8.85","495","24.6","3","ATE*"
"(2011 EH17)","2016-Mar-01 19:11 ±   03:07","11.05/0.02840","2.81/0.00721","16.71","16.71","1.87e+03","24.6","5","ATE*"
"(2016 GU2)","2016-Mar-28 09:12 ±","11.09/0.02849","11.06/0.02842","38.57","38.57","1.86e+03","24.1","6","APO*"
"(2016 BQ)","2016-Feb-07 02:51 ±   00:02","11.11/0.02854","11.07/0.02844","3.85","3.82","459","26.8","5","APO*"
"(2016 CM137)","2016-Feb-03 04:26 ±","11.16/0.02866","11.13/0.02860","10.82","10.81","929","25.8","7","APO*"
"(2016 GF1)","2016-Mar-24 12:55 ±","11.23/0.02886","11.20/0.02878","8.19","8.18","618","26.0","7","APO*"
"(2015 XR378)","2015-Dec-06 23:09 ±","11.23/0.02887","11.20/0.02878","7.74","7.73","606","25.1","11","APO*"
"(2016 EF28)","2016-Feb-27 14:34 ±","11.25/0.02891","11.25/0.02890","18.19","18.19","1.31e+04","21.7","22","APO*"
"(2016 NK33)","2016-Jul-16 01:16 ±   00:02","11.32/0.02910","10.92/0.02807","9.60","9.59","53.5","25.9","1","APO*"
"(2015 TM21)","2015-Oct-09 13:55 ±","11.36/0.02919","11.33/0.02911","11.62","11.61","689","26.1","4","APO*"
"(2015 VF106)","2015-Nov-03 22:01 ±   00:01","11.44/0.02940","11.39/0.02926","6.32","6.30","354","27.6","4","APO*"
"(2016 NG38)","2016-Jul-14 09:57 ±","11.48/0.02950","11.46/0.02944","7.06","7.05","788","25.1","4","AMO*"
"(2015 VR65)","2015-Nov-04 04:56 ±","11.48/0.02951","11.43/0.02936","12.75","12.74","429","24.0","10","APO*"
"(2016 NJ39)","2016-Jul-22 14:26 ±","11.53/0.02963","11.41/0.02933","10.36","10.35","190","25.2","4","APO*"
"(2016 FA)","2016-Mar-17 15:54 ±","11.54/0.02966","11.53/0.02962","5.46","5.44","1.5e+03","25.3","15","ATE*"
"(2000 SM10)","2015-Oct-02 16:55 ±","11.70/0.03007","11.70/0.03007","12.91","12.90","2.42e+05","24.1","18","APO*"
"(2015 TC24)","2015-Sep-30 05:05 ±","11.71/0.03008","11.63/0.02987","16.76","16.76","398","24.6","4","APO*"
"(2015 TD144)","2015-Oct-20 17:34 ±","11.73/0.03015","11.73/0.03015","24.62","24.62","6.67e+05","22.6","15","APO*"
"(2016 RL40)","2016-Sep-04 00:55 ±   00:02","11.76/0.03021","11.54/0.02965","12.20","12.19","113","25.6","1","APO*"
"(2015 XO129)","2015-Nov-20 06:48 ±   00:05","11.76/0.03021","11.51/0.02958","13.17","13.16","101","25.2","3","APO*"
"(2015 SJ17)","2015-Oct-03 06:18 ±   00:02","11.77/0.03025","11.56/0.02971","6.43","6.42","95.9","27.5","2","APO*"
"(2016 CA194)","2016-Feb-12 06:53 ±   00:03","11.87/0.03050","11.69/0.03004","5.83","5.81","112","27.2","3","APO*"
"(2012 BU61)","2016-Jan-02 06:56 ±","11.93/0.03065","11.93/0.03065","24.00","23.99","1.53e+05","21.5","15","APO*"
"(2011 SE97)","2015-Oct-18 13:44 ±","11.95/0.03070","11.95/0.03070","12.88","12.87","3.08e+05","24.7","26","APO*"
"(2016 RP20)","2016-Sep-12 01:46 ±","11.98/0.03078","11.91/0.03060","9.87","9.86","324","25.6","2","APO*"
"(2016 EJ156)","2016-Mar-03 01:04 ±","11.99/0.03080","11.97/0.03075","4.92","4.90","1.14e+03","25.7","10","APO*"
"(2015 TX144)","2015-Oct-07 08:22 ±   00:02","12.00/0.03082","11.95/0.03071","4.82","4.80","420","27.7","2","AMO*"
"(2015 YA1)","2015-Dec-05 13:43 ±   00:01","12.03/0.03090","11.96/0.03073","6.55","6.54","1.09e+03","24.5","7","APO*"
"(2016 JP17)","2016-May-08 06:45 ±","12.06/0.03100","12.05/0.03096","11.59","11.58","1.92e+03","23.1","19","APO*"
"(2016 JB29)","2016-Jun-04 23:15 ±","12.06/0.03100","12.06/0.03100","9.24","9.23","6.37e+04","24.7","41","APO*"
"(2016 LS1)","2016-May-27 10:46 ±","12.10/0.03109","12.06/0.03099","5.95","5.93","526","26.2","4","AMO*"
"(2016 FL14)","2016-Mar-30 17:35 ±","12.10/0.03110","12.08/0.03104","11.44","11.43","908","25.9","3","APO*"
"(2016 CF29)","2016-Feb-12 13:14 ±","12.11/0.03111","12.08/0.03104","16.52","16.51","901","24.9","7","APO*"
"(2016 EG158)","2016-Mar-15 10:05 ±","12.13/0.03117","12.07/0.03101","6.77","6.75","328","27.1","4","APO*"
"(2016 QS11)","2016-Sep-18 05:19 ±","12.18/0.03130","12.17/0.03126","3.76","3.74","1.46e+03","25.8","15","AMO*"
"(2016 GG1)","2016-Apr-02 20:42 ±","12.20/0.03135","12.16/0.03125","5.63","5.62","550","26.3","8","AMO*"
"(2015 WF)","2015-Nov-06 05:29 ±","12.28/0.03155","12.19/0.03132","7.21","7.20","241","25.9","6","AMO*"
"(2016 DF)","2016-Feb-18 03:08 ±   00:05","12.30/0.03160","12.26/0.03150","2.49","2.46","489","27.0","7","AMO*"
"(2016 RD18)","2016-Aug-31 11:15 ±","12.30/0.03161","12.22/0.03141","8.19","8.18","284","26.5","2","AMO*"
"(2010 WD1)","2016-Feb-22 18:02 ± 2_18:48","12.31/0.03164","12.05/0.03097","7.17","7.16","103","26.5","7","ATE*"
"(2015 TC179)","2015-Oct-14 20:17 ±   00:01","12.32/0.03165","12.29/0.03158","3.83","3.81","732","26.0","11","AMO*"
"(2016 HN)","2016-May-04 21:33 ±","12.35/0.03173","12.31/0.03164","11.66","11.66","699","22.6","15","APO*"
"(2015 XJ1)","2015-Nov-18 20:09 ±","12.36/0.03176","12.36/0.03175","9.18","9.17","7.33e+03","23.4","13","APO*"
"(2015 TP21)","2015-Oct-06 00:42 ±","12.36/0.03177","12.33/0.03167","9.80","9.80","624","26.7","5","APO*"
"(2009 CV)","2016-Jun-20 01:31 ±","12.40/0.03186","12.40/0.03186","4.69","4.67","9.23e+05","24.3","29","APO*"
"(2016 EE27)","2016-Feb-19 23:14 ±   00:31","12.42/0.03192","11.79/0.03028","22.22","22.22","66.5","23.9","2","APO*"
"(2016 FY2)","2016-Mar-17 19:00 ±","12.43/0.03195","12.43/0.03194","3.40","3.38","4.84e+03","25.4","15","ATE*"
"(2015 VE1)","2015-Oct-24 08:06 ±","12.46/0.03202","12.46/0.03202","8.71","8.70","3.67e+04","21.0","40","APO*"
"(2016 RX)","2016-Aug-30 17:27 ±","12.48/0.03206","12.35/0.03173","22.41","22.40","244","25.4","7","APO*"
"(2013 VA10)","2016-Feb-08 03:57 ±","12.53/0.03219","12.53/0.03219","25.52","25.52","6.94e+05","22.2","20","APO*"
"(2016 AW193)","2015-Dec-25 00:45 ±   00:01","12.54/0.03222","12.53/0.03219","12.29","12.28","4.39e+03","25.0","5","APO*"
"85990 (1999 JV6)","2016-Jan-06 01:09 ±","12.61/0.03241","12.61/0.03241","9.62","9.61","2.83e+07","20.2","207","APO*"
"(2016 GM2)","2016-Apr-16 15:55 ±","12.63/0.03245","12.60/0.03238","9.23","9.22","794","25.1","12","APO*"
"(2016 GC207)","2016-Apr-09 09:13 ±","12.67/0.03256","12.63/0.03246","8.29","8.28","554","26.9","3","AMO*"
"(2016 FB15)","2016-Mar-19 17:36 ±   00:02","12.67/0.03256","12.60/0.03238","4.82","4.80","283","26.7","3","APO*"
"(2016 JC6)","2016-May-08 16:25 ±","12.80/0.03290","12.80/0.03290","5.69","5.68","1.26e+06","21.4","34","ATE*"
"(2016 AE2)","2016-Jan-02 22:41 ±   00:04","12.81/0.03292","12.69/0.03261","6.19","6.18","183","26.4","2","ATE*"
"(2016 KH)","2016-May-23 11:24 ±","12.83/0.03296","12.78/0.03284","13.12","13.11","567","24.3","9","APO*"
"(2016 FC13)","2016-Apr-01 11:59 ±","12.83/0.03297","12.83/0.03297","21.93","21.93","2.62e+05","22.0","11","APO*"
"(2015 VH2)","2015-Nov-24 21:28 ±   00:02","12.86/0.03305","12.84/0.03300","2.81","2.78","1.07e+03","27.4","11","AMO*"
"(2016 GH134)","2016-Mar-25 04:41 ±","12.94/0.03326","12.88/0.03310","19.52","19.52","763","22.6","4","APO*"
"(2016 GV1)","2016-Mar-29 09:46 ±","12.97/0.03333","12.95/0.03328","10.31","10.30","1.17e+03","24.3","9","APO*"
"(2016 NX22)","2016-Aug-02 11:32 ±","12.98/0.03335","12.96/0.03331","9.52","9.51","1.8e+03","23.7","12","AMO*"
"(2016 EQ85)","2016-Feb-27 08:31 ±   00:07","12.99/0.03337","12.84/0.03300","6.34","6.33","152","27.6","2","APO*"
"(2013 TX68)","2016-Mar-08 00:06 ± 2_00:26","12.99/0.03338","0.08/0.00021","15.32","15.32","463","25.2","7","APO*"
"(2016 CP195)","2016-Feb-15 08:43 ±","13.02/0.03347","12.96/0.03331","13.79","13.78","466","26.5","6","APO*"
"(2015 TV346)","2015-Oct-11 01:57 ±   00:02","13.03/0.03347","12.92/0.03319","5.58","5.56","198","27.3","4","AMO*"
"(2016 DU1)","2016-Mar-03 21:08 ±","13.06/0.03355","13.00/0.03340","7.20","7.19","402","26.3","5","APO*"
"(2016 CY30)","2016-Feb-23 18:11 ±","13.10/0.03367","13.04/0.03350","14.29","14.29","440","24.6","9","APO*"
"388945 (2008 TZ3)","2016-May-05 10:39 ±","13.13/0.03373","13.13/0.03373","9.65","9.64","1.11e+06","20.4","76","APO*"
"(2016 CL29)","2016-Feb-01 06:39 ±","13.15/0.03379","13.12/0.03371","13.92","13.91","954","24.6","8","APO*"
"(2015 VM105)","2015-Nov-08 20:28 ±","13.20/0.03391","13.16/0.03381","7.42","7.41","605","26.6","8","APO*"
"(2016 SF)","2016-Sep-07 05:37 ±   01:07","13.20/0.03391","12.37/0.03178","15.22","15.21","48","24.4","1","APO*"
"(2015 XE1)","2015-Dec-19 02:56 ±","13.21/0.03395","13.20/0.03392","5.09","5.07","1.88e+03","25.7","10","APO*"
"(2015 TG144)","2015-Oct-16 08:59 ±","13.29/0.03415","13.20/0.03392","8.06","8.05","267","25.6","3","APO*"
"(2015 TL238)","2015-Oct-27 09:35 ±","13.32/0.03422","13.28/0.03411","12.88","12.87","667","24.9","11","APO*"
"(2016 LY8)","2016-Jun-18 13:12 ±","13.33/0.03426","13.33/0.03426","10.03","10.02","2.27e+04","23.1","16","APO*"
"(2016 GC221)","2016-Apr-15 00:34 ±","13.38/0.03439","13.35/0.03432","13.67","13.67","948","24.8","5","APO*"
"(2016 BR)","2016-Jan-07 16:24 ±   00:01","13.42/0.03448","13.31/0.03420","7.74","7.73","423","25.6","3","APO*"
"(2016 LB2)","2016-May-14 02:36 ±   00:11","13.46/0.03458","13.25/0.03405","18.26","18.26","156","22.7","4","ATE*"
"(2016 EH55)","2016-Feb-24 18:47 ±   00:03","13.48/0.03463","13.26/0.03406","13.75","13.75","133","24.6","4","APO*"
"(2015 YT1)","2015-Dec-31 04:34 ±   00:02","13.52/0.03475","13.26/0.03407","6.06","6.04","87.1","27.0","5","APO*"
"(2016 JH18)","2016-May-17 23:03 ±","13.53/0.03478","13.45/0.03455","6.53","6.52","267","26.1","6","ATE*"
"(2016 NE56)","2016-Jul-16 22:28 ±","13.58/0.03490","13.37/0.03437","12.16","12.15","134","25.0","1","APO*"
